,mean_compound,mean_positive,mean_negative,num_of_comments,num_of_pos_comments,num_of_neg_comments
AOA,0.2856372556788167,0.20946579503433704,0.055521658742736395,7572,4249,1014
OhMyGirl,0.31892945292620867,0.2101203562340967,0.04823167938931298,7860,4779,992
Mamamoo,0.2619814599312351,0.19969069029357311,0.059613858767521816,7562,4070,1096
BOM,0.158731666445006,0.1610391009442745,0.0870265992818194,7519,3390,1819
Lovelyz,0.2771008204313881,0.202839354241101,0.05524652639936482,7557,4316,1127
G-Idle,0.19847427363972533,0.1624162704701532,0.06379926043317485,7572,3631,1345
