date,time,user_name,text,link,retweet_counts,favorite_counts
2019-09-14,23:59:52,supersalt_FF14,아 퀸덤 봐야겟네,https://twitter.com/supersalt_FF14/status/1173023590792351746,0,0
2019-09-14,23:56:11,hhh9269,퀸덤 aoa 설현 수트 진짜 개쩔어 진짜 세상에서 수트 제일 잘어울려,https://twitter.com/hhh9269/status/1173022664425787393,0,0
2019-09-14,23:54:59,gmsor_53,[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/JXC7rtAVOzM @YouTubeより 何回見ても最高すぎるし泣けるな。韓国いる間に絶対韓国人のドラァグ見に行こう,https://twitter.com/gmsor_53/status/1173022364222705669,0,0
2019-09-14,23:53:01,Inyu_mim,퀸덤을 기점으로 연예계가 바뀔것같아.,https://twitter.com/Inyu_mim/status/1173021866283298816,0,0
2019-09-14,23:48:56,suaaalove28,퀸덤 かっこよすぎて鳥肌止まらん！ ,https://twitter.com/suaaalove28/status/1173020838678806528,0,0
2019-09-14,23:07:56,cinnamonbn,[ENG sub] [2회] ♬ Ah-Choo - 러블리즈 @1차 경연ㅣ히트곡 대결 컴백전쟁 : 퀸덤 2화 https://youtu.be/0Fck5KqihEw no one: wheein: d a n c e. b r e a k.,https://twitter.com/cinnamonbn/status/1173010521592750081,0,2
2019-09-14,23:05:34,TeChaiMate,"Ahora fuera de joda, Bom tiene mucha desventaja en el Mnet ‘퀸덤(Queendom)’ si las demás son todos grupos y ella sola. 2NE1 DONDE ESTAS!?",https://twitter.com/TeChaiMate/status/1173009925683011584,0,0
2019-09-14,23:03:32,kortg001,"#퀸덤 1위 여자아이들, 3위 오마이걸, 6위(꼴찌) 러블리즈 ",https://twitter.com/kortg001/status/1173009415634472961,0,0
2019-09-14,22:55:22,TeChaiMate,"[풀버전] ♬ 너나 해(Egotistic) - AOA @2차 경연 컴백전쟁 : 퀸덤 3화 https://youtu.be/n-w_ski7mt0 uffffffff TREMENDO!!! tmb muy muy buena idea! AOA tiene una de mis canciones favoritas del Kpop Girl Groups, Like a Cat, y esto WOAAA!!! ",https://twitter.com/TeChaiMate/status/1173007359444160512,0,0
2019-09-14,22:52:59,ggpine0106,오 방금 퀸덤 너나해 봤는데 설현 목소리뭐야?? 에오에 무대 제대로 처음봐서 이렇게 좋은줄몰랐어 대박????,https://twitter.com/ggpine0106/status/1173006760749096960,0,0
2019-09-14,22:51:13,DoubleDawn419,目前觀看次數最高！ 刷起來ComeOn！！ [3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 ,https://twitter.com/DoubleDawn419/status/1173006315230154752,0,0
2019-09-14,22:48:03,funfunzi,"퀸덤 1위 여자아이들, 3위 오마이걸, 6위(꼴찌) 러블리즈 http://www.bogijoa.com/bbs/board.php?bo_table=girls&amp;wr_id=84144&amp;utm_source=dlvr.it&amp;utm_medium=twitter",https://twitter.com/funfunzi/status/1173005516726919168,0,0
2019-09-14,22:40:03,TeChaiMate,Park Bom (박봄) – Hann (한 (一)) feat.치타 (Cheetah) (Queendom (퀸덤)) | [Official_Audio] https://youtu.be/oSm0QcDlQUI ,https://twitter.com/TeChaiMate/status/1173003504455225344,0,1
2019-09-14,22:35:58,poo_poo_dle_,효리다 뿌애앵 우는거 보고 입덕함ㅠㅠㅠ... #오마이걸 #퀸덤 #효리다 #효정 #뿌앵,https://twitter.com/poo_poo_dle_/status/1173002476221427712,25,41
2019-09-14,22:23:08,monarchtae,[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/JXC7rtAVOzM via @YouTube a SERVE,https://twitter.com/monarchtae/status/1172999245823131649,0,0
2019-09-14,22:22:50,TeChaiMate,[풀버전] ♬ 한(一) feat.치타 - 박봄 @2차 경연 컴백전쟁 : 퀸덤 3화 https://youtu.be/meN_vCCqX6o pffffff en bucle o sea la fiereza que saca!!!!! y la coreo!? TREMENDO! Bom está en su mejor momento ,https://twitter.com/TeChaiMate/status/1172999172926169088,0,0
2019-09-14,22:19:47,TeChaiMate,Bom solita lo está killing a este Mnet ‘퀸덤(Queendom)’ imaginate si estuviera compitiendo 2NE1 !!!!!!!! pffffff!! sería competencia injusta ,https://twitter.com/TeChaiMate/status/1172998403111960576,0,0
2019-09-14,22:17:04,TeChaiMate,"[풀버전] ♬ 한(一) feat.치타 - 박봄 @2차 경연 컴백전쟁 : 퀸덤 3화 https://youtu.be/meN_vCCqX6o pffffff me gusta Cheetah pero lo q hubiera sido con CL jooo QUE FUEGO BOM!!! esas vocals, esas visuals, esa presencia, pffffff!!!! ",https://twitter.com/TeChaiMate/status/1172997721692745728,0,1
2019-09-14,22:16:44,TeChaiMate,[3회] ♬ 한(一) feat.치타 - 박봄 @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/QxOr7l7utUo 100% identificada con esas reacciones!!!! ,https://twitter.com/TeChaiMate/status/1172997636854558720,0,0
2019-09-14,22:08:47,killuyasha,[ENG sub] [2회] ♬ 짧은 치마 - AOA @1차 경연ㅣ히트곡 대결 컴백전쟁 : 퀸덤 2화 https://youtu.be/8l-Yxs5Ylto via @YouTube,https://twitter.com/killuyasha/status/1172995636276297728,0,0
2019-09-14,21:58:14,killuyasha,[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/JXC7rtAVOzM via @YouTube,https://twitter.com/killuyasha/status/1172992980925313024,0,0
2019-09-14,21:49:54,deepsk252035,[3회] ♬ 한(一) feat.치타 - 박봄 @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/QxOr7l7utUo @YouTube 님이 공유,https://twitter.com/deepsk252035/status/1172990882343092224,0,0
2019-09-14,21:46:26,dice9280,퀸덤 유튭으로 봤는데 진짜 다들 잘하는거같아,https://twitter.com/dice9280/status/1172990013350375424,0,0
2019-09-14,21:44:39,deepsk252035,[3회] ♬ 너나 해(Egotistic) - AOA @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/JXC7rtAVOzM @YouTube 님이 공유,https://twitter.com/deepsk252035/status/1172989563335135232,0,0
2019-09-14,21:38:40,deepsk252035,[3회] ♬ Good Luck - 마마무 @2차 경연ㅣ커버곡 대결 컴백전쟁 : 퀸덤 3화 https://youtu.be/m5iFHJECQWU @YouTube 님이 공유,https://twitter.com/deepsk252035/status/1172988058397839360,0,0
2019-09-14,21:22:53,rafsimuns,[ENG sub] [2회] ♬ 비밀정원 - 오마이걸 @1차 경연ㅣ히트곡 대결 컴백전쟁 : 퀸덤 2화 https://youtu.be/H8VFoeJPd9g vtan lindas no son reales,https://twitter.com/rafsimuns/status/1172984085913972736,0,0
