date,time,user_name,text,link,retweet_counts,favorite_counts
2019-10-26,23:58:50,OH_MY_GIRL_xoxo,다들 퀸덤 오마이걸하세요 나 우러 저 퀸덤 영상 몇번이나 돌려보는지,https://twitter.com/OH_MY_GIRL_xoxo/status/1188243619674611712,1,0
2019-10-26,23:38:49,b_crtv,퀸덤 음원 의무감에 스밍하느라 계속 듣는 게 아니라... 이번 신곡 진짜 너무 취저라 계속 돌릴 수밖에 없다 전주 들을 때마다 두근두근해 ㄸㅏ 따따다 따따다 할 때마다 막 소리지르고 싶음,https://twitter.com/b_crtv/status/1188238585503203328,0,1
2019-10-26,22:21:53,New___Co_met,와 정신차려보니 퀸덤3화까지 다밨네 렬루 이거보느라 정신못차리고 사냥했네 몇시간한거냐 ㄷㄷ 거의 4시간한거같은데 올..,https://twitter.com/New___Co_met/status/1188219223035830272,0,0
2019-10-26,22:20:28,hnmg____,"퀸덤 좀 몰아서 봐야겟는데,,,역시 맘무 죠아ㅠ",https://twitter.com/hnmg____/status/1188218866477850626,0,0
2019-10-26,22:16:47,Falter_ff,아 퀸덤 너무 재밋다 아 나 자야하는데!!!! !,https://twitter.com/Falter_ff/status/1188217940841119745,0,0
2019-10-26,22:06:40,naoxmon,"Lion is soooo good, the slow intro/outro, each member doing the same line but with their unique color, Soyeon's rap, the chorus, it's perfect #여자아이들 #G_I_DLE #GIDLExLION #퀸덤 ",https://twitter.com/naoxmon/status/1188215392952573953,1,3
2019-10-26,21:59:51,KISS_o_Dream,퀸덤에서 초록색옷 입고 신나서 날아다니며 랩하는거 너무 좋아,https://twitter.com/KISS_o_Dream/status/1188213679927382016,0,0
2019-10-26,21:58:30,snuflovver,아이들 싫다고 말해 퀸덤 영상 보고 감상문 쓰면 극청룡 간다고 햇더니 진짜 써온 소소님 ,https://twitter.com/snuflovver/status/1188213338309713920,0,0
2019-10-26,21:50:34,popo__000um,"퀸덤 갈수록,,, 러블리즈는 뮤지컬 하고 오마이걸은 성장소설쓰고,,, 너무,,, 귀여워",https://twitter.com/popo__000um/status/1188211340113920002,0,1
2019-10-26,21:11:19,sofi4ai,[甲류] 러블리즈 퀸덤청음회 정예인 ,https://twitter.com/sofi4ai/status/1188201464792940545,0,0
2019-10-26,20:52:17,wmgirlies,[풀버전] ♬ Twilight(Queendom Ver.) - 오마이걸 @3차 경연 컴백전쟁 : 퀸덤 9화 https://youtu.be/0u8377YsRX4 via @YouTube,https://twitter.com/wmgirlies/status/1188196675187367936,0,0
2019-10-26,20:44:09,antinationahis,ㅋㅋㅋㅋㅋㅋ퀸덤 회의 너무 재밋다 ,https://twitter.com/antinationahis/status/1188194626869448704,0,0
2019-10-26,20:40:13,_rdbella,아이돌 무대 멋있기도 하지만 완벽에 가깝게 준비하기 위해서 얼마나 노력했을지 가시적으로 보이기 때문에 나까지 덩달아 힘이 난다. 특히나 이번 퀸덤의 오마이걸 트와일라잇(콕집어 댄브부분)에서 유독 그런게 잘 느껴졌고 컨셉 노래 댄스 모든게 취향이라서 몇번이고 돌려보고 듣고있다.,https://twitter.com/_rdbella/status/1188193636183400448,0,2
2019-10-26,20:34:01,arisalt_82,아!!!@@@@!!!!!!!! 진짜 이번에 퀸덤 노래... 진짜 6그릅 모두 저아서 큰일임.... 너무ㅜ좋아서 눈뭃나..... 나 오늘 하루종일 저 6곡만 들었서...... 아....... 아........ 너무ㅜㅜ좋아......,https://twitter.com/arisalt_82/status/1188192075725987840,0,0
2019-10-26,20:30:26,aeongmio,"아니 나 어떡해 퀸덤 앓이계를 파야하나바,,, 개치였어 지금 어떡해..?",https://twitter.com/aeongmio/status/1188191175770927106,0,0
2019-10-26,20:20:35,vgnstrngr,퀸덤 나오는 출연진들과 그들이 만드는 음악은 보고싶지만 프로그램이 핵노잼이라 보기 힘든 사람,https://twitter.com/vgnstrngr/status/1188188698786975744,0,3
2019-10-26,20:20:25,4quaris,퀸덤 파이널 노래 다 좋아(,https://twitter.com/4quaris/status/1188188655258611714,0,0
2019-10-26,20:19:52,antinationahis,역시 퀸덤 회의장면 대꿀잼ㅋㅋ ,https://twitter.com/antinationahis/status/1188188514673815552,0,0
2019-10-26,20:16:37,KUSOLIFE_ATMKD,퀸덤... 담주 막방이라니 믿을 수 없음 ㅠ ...시즌 투는 바라지도 않어 그냥...ㅠㅠ.... ...여돌 화합의 장 놀러가서 눈누난나 즐기고오는 버라이어티 하나 만들어좌 앰넷 ,https://twitter.com/KUSOLIFE_ATMKD/status/1188187697141055488,3,0
2019-10-26,20:14:03,07_MGAT,E담주 퀸덤 막방...것도생방 ...우래덜 무대보는 거슨 좋지만서두 마지막이라는게 믿을수업음 퀸덤시즌투를하던지 여돌들 화합의장인 프로그램을내놔@웸넷,https://twitter.com/07_MGAT/status/1188187051511779328,0,0
2019-10-26,20:11:53,chanoonwoo,"[ENG sub] [9회] ♬ 눈, 코, 입 - 박봄 @3차 경연 팬도라의 상자 컴백전쟁 : 퀸덤 9화 https://youtu.be/LY6HUk6rh4I via @YouTube",https://twitter.com/chanoonwoo/status/1188186508211044352,0,0
2019-10-26,20:04:20,LesserisKUN,퀸덤 대결구도 해조 표현력이 뛰어난 아이들 표현 스펙트럼이 넓은 오마이걸 예능돌 마마무 예능인가 진심인가 러블리즈 이런 날 기다렸지 AOA 아직도 기다리는 박봄,https://twitter.com/LesserisKUN/status/1188184606152912896,0,1
2019-10-26,19:58:36,Falter_ff,퀸덤 봐야지,https://twitter.com/Falter_ff/status/1188183162859319296,0,0
2019-10-26,19:58:31,biburimtlqkf,아 개좋아 퀸덤이즈마이라이프 퀸덤 없이 못살아~~ ,https://twitter.com/biburimtlqkf/status/1188183144240861184,0,0
2019-10-26,19:41:27,haraoun_,퀸덤 파이널보면서 마마무 팬덤은 화력이 넘사벽이구나 느끼는 중.,https://twitter.com/haraoun_/status/1188178847021158401,0,3
2019-10-26,19:29:46,TeChaiMate,"[퀸' Story] 박봄 '눈,코,입' @퀸덤 3차 R2 경연 https://youtu.be/faW8-TARMqQ me la como toda cuando esta ahí en el live cam preguntando que cantar ",https://twitter.com/TeChaiMate/status/1188175910584946689,0,0
2019-10-26,19:24:35,seulidogi,[오마이걸]퀸덤 리액션 모먼트 3 ,https://twitter.com/seulidogi/status/1188174604725964801,0,0
2019-10-26,19:12:14,amoment0139,퀸덤 재밋긴해도 슬기가 제일 재밋는데ㅜㅜ,https://twitter.com/amoment0139/status/1188171497052884992,0,2
2019-10-26,19:09:34,ruwubiie,(G)I-DLE - 여자아이들 - SOOJIN 수진 'Senorita' QUEENDOM 퀸덤 https://youtu.be/_u5TY7Fp5ec via @YouTube,https://twitter.com/ruwubiie/status/1188170824404131841,0,0
2019-10-26,19:07:54,ruwubiie,오늘자 퀸덤 찢은 친절한 예인씨 | Queendom Lovelyz 러블리즈 정예인 Yein 친절한 금자씨 OST Performan... https://youtu.be/bdR0olZgZ3M via @YouTube,https://twitter.com/ruwubiie/status/1188170405065953280,0,0
2019-10-26,19:05:46,mispsr,"[ENG sub] [9회] ♬ 눈, 코, 입 - 박봄 @3차 경연 팬도라의 상자 컴백전쟁 : 퀸덤 9화 https://youtu.be/LY6HUk6rh4I ผ่าน @YouTube",https://twitter.com/mispsr/status/1188169868631101440,0,0
2019-10-26,19:05:26,secre7garden,[퀸덤] 3차 경연 : 2라운드 팬도라의 상자 스테이지 그룹 포토 | 오마이걸 K-POP 여왕의 자리를 두고 펼쳐지는 #걸그룹 #컴백 전쟁! Mnet ‘퀸덤(Queendom)’ #Mnet ‘#퀸덤(#Queendom)’ 매주 목요일 밤 9시 20분 본방사수 #엠넷 #오마이걸 #OHMYGIRL @MH51K @259HS @K18JH,https://twitter.com/secre7garden/status/1188169784749375488,7,5
2019-10-26,19:01:29,hong_novel,https://youtu.be/2jetax5BUBU?list=PLjUVzlcpeN4TuoRliNbRas90I0CqrVIkF 와...와... 퀸덤 갑자기 뽕 차서 재생목록 돌려보는데 진짜 시작부터 장난 없다 금자씨 부분 씩 웃는거 너무 대박이야,https://twitter.com/hong_novel/status/1188168792284622848,0,0
2019-10-26,18:57:01,OhMyGirlCloset,"191026 #Arin on The Ultimate Watchlist of Latest Trends Ep 8 wearing Sculptor - pleated skirt ₩72,000 #ohmygirl_sculptor #omgc_arin #OHMYGIRL #Bungee #아린 #오마이걸 #번지 #ohmygirlfashion #ohmygirlstyle #ohmygirlcloset #퀸덤 #Queendom",https://twitter.com/OhMyGirlCloset/status/1188167667057692672,6,9
2019-10-26,18:44:56,hongssona,작업송 리스트 다 퀸덤 노래밖에 없어 ,https://twitter.com/hongssona/status/1188164625348513792,0,11
2019-10-26,18:41:17,moment_IU, 퀸덤 현장포토 보정 아이들 ㅅㅏ랑ㅎㅐ #여자아이들 #G_I_DLE #퀸덤 #싫다고말해,https://twitter.com/moment_IU/status/1188163706191921153,0,0
2019-10-26,18:37:05,Memolonie, on @YouTube: [ENG sub] [9회] ♬ Twilight(Queendom Ver.) - 오마이걸 @3차 경연 팬도라의 상자 컴백전쟁 : 퀸덤 9화 ,https://twitter.com/Memolonie/status/1188162648376008704,0,0
2019-10-26,18:29:30,moment_IU,여돌 최고다 상큼 간지... 그룹명만 알아서 태그는 조금만.. #퀸덤 #오마이걸 #러블리즈,https://twitter.com/moment_IU/status/1188160743746621441,0,0
2019-10-26,18:26:02,chaofanzhang,AOA (에이오에이) – Sorry / Queendom 퀸덤 ＜FINAL 컴백 싱글＞ https://youtu.be/W_aXBrsdNb4 来自 @YouTube,https://twitter.com/chaofanzhang/status/1188159870962262016,0,1
2019-10-26,18:23:53,mmkpp0p,나 오마이걸이 퀸덤 우승햇음 좋겟다 솔직히 .. 미안하다 .. 나는 .. 순위가 있으면..,https://twitter.com/mmkpp0p/status/1188159329800572928,0,2
2019-10-26,18:11:18,KAWA_IKU,아? 그게 퀸덤버전이었구나 원곡도 들어봐야겠어요,https://twitter.com/KAWA_IKU/status/1188156160555094016,0,0
2019-10-26,18:10:56,OhMyGirlCloset,"191026 #Arin on The Ultimate Watchlist of Latest Trends Ep 8 wearing O!Oi - blouse ₩119,000 &amp; knit vest ₩79,000 #ohmygirl_oioi #omgc_arin #OHMYGIRL #Bungee #아린 #오마이걸 #번지 #ohmygirlfashion #ohmygirlstyle #ohmygirlcloset #퀸덤 #Queendom",https://twitter.com/OhMyGirlCloset/status/1188156068993458176,4,9
2019-10-26,18:10:55,Minuetta_,퀸덤버전은 호러풍으로 좀 강렬하구 원곡은 발라드풍으로 잔잔해요! 그춍 저도 취향...? 은 아닌데 자꾸 듣게되더라구요,https://twitter.com/Minuetta_/status/1188156065260527616,0,0
2019-10-26,18:08:20,Vegandung2,퀸덤 출연진이랑 무대 전부 다 눈물 날 정도로 너무 좋네....(친구 덕에 뒤늦게 챙겨봄) 좋다 귀엽다 최고다 멋지다 등등의 찬사를 보는 동안 쉴 새 없이 하게 만드는 방송은 처음이다. 주접 떨면서 퀸덤 보면 두배로 재밌음,https://twitter.com/Vegandung2/status/1188155415374098433,0,8
2019-10-26,18:02:34,jonberAJAAJA,퀸덤 노래 다 좋다고 ..,https://twitter.com/jonberAJAAJA/status/1188153963108941824,0,0
